Gene.Symbol,EnsID,entrez_id,hgnc_symbol,tissue,phase,pval,fdr,rsq,rAmp,fitmean,amp,G1Acro,Peg,hgnc_name,gene_biotype,type
SEPT10,ENSG00000186522,151011,SEPT10,Artery Tibial,2.512842544,0.081201266,0.318708622,0.09084836,0.087874835,86.64850047,7.614222708,0.84386682,1.668975723,septin 10,protein_coding,protein_coding
SEPT11,ENSG00000138758,55752,SEPT11,Artery Tibial,1.741300231,0.803594946,0.928286445,0.095753377,0.1517566,32.46647044,4.927001182,0.84386682,0.897433411,septin 11,protein_coding,protein_coding
SELENOF,ENSG00000183291,9403,SELENOF,Artery Tibial,5.930160545,0.732683773,0.895323337,0.057420235,0.083455249,109.5523913,9.142722057,0.84386682,5.086293725,selenoprotein F,protein_coding,protein_coding
MARC1,ENSG00000186205,64757,MARC1,Artery Tibial,2.504411186,0.049890317,0.252754018,0.119923598,0.192531187,7.76641016,1.495276168,0.84386682,1.660544366,mitochondrial amidoxime reducing component 1,protein_coding,protein_coding
MARC1,ENSG00000186205,64757,MARC1,Artery Tibial,3.745036653,0.432034113,0.715252235,0.086462546,0.199014105,4.675069094,0.930404692,0.84386682,2.901169833,mitochondrial amidoxime reducing component 1,protein_coding,protein_coding
MARC2,ENSG00000117791,54996,MARC2,Artery Tibial,3.38808605,0.52932498,0.784423604,0.122248874,0.111611713,35.78120676,3.993601796,0.84386682,2.54421923,mitochondrial amidoxime reducing component 2,protein_coding,protein_coding
MARC2,ENSG00000117791,54996,MARC2,Artery Tibial,4.144672133,0.798572487,0.925763978,0.016371325,0.04836679,63.54928487,3.073674944,0.84386682,3.300805313,mitochondrial amidoxime reducing component 2,protein_coding,protein_coding
SEPT2,ENSG00000168385,4735,SEPT2,Artery Tibial,3.631307954,0.164612453,0.44979049,0.107103169,0.109073903,222.0515832,24.22003282,0.84386682,2.787441134,septin 2,protein_coding,protein_coding
MARCH3,ENSG00000173926,115123,MARCH3,Artery Tibial,0.015459312,0.047479604,0.24679194,0.171825966,0.602290622,2.542370023,1.531245624,0.84386682,5.454777799,membrane associated ring-CH-type finger 3,protein_coding,protein_coding
SEPT4,ENSG00000108387,5414,SEPT4,Artery Tibial,1.787423929,0.45013548,0.72716803,0.001281151,0.018529862,42.18468843,0.781676463,0.84386682,0.943557109,septin 4,protein_coding,protein_coding
MARCH5,ENSG00000198060,54708,MARCH5,Artery Tibial,3.048910986,0.489951036,0.758670714,0.009987869,0.031594869,18.83486321,0.595085031,0.84386682,2.205044166,membrane associated ring-CH-type finger 5,protein_coding,protein_coding
SEPT5,ENSG00000184702,5413,SEPT5,Artery Tibial,3.923839871,0.120977473,0.386608363,0.171210847,0.254516628,53.36460323,13.58217889,0.84386682,3.079973051,septin 5,protein_coding,protein_coding
MARCH6,ENSG00000145495,10299,MARCH6,Artery Tibial,2.704353011,0.032117291,0.203004321,0.161960536,0.158567889,44.32966469,7.029261359,0.84386682,1.860486191,membrane associated ring-CH-type finger 6,protein_coding,protein_coding
SEPT6,ENSG00000125354,23157,SEPT6,Artery Tibial,4.103151845,0.010443318,0.116475995,0.211244307,0.27856848,15.163046,4.223946682,0.84386682,3.259285025,septin 6,protein_coding,protein_coding
MARCH7,ENSG00000136536,64844,MARCH7,Artery Tibial,2.719139275,0.05533367,0.265789428,0.129687649,0.103396075,61.38359687,6.346822992,0.84386682,1.875272455,membrane associated ring-CH-type finger 7,protein_coding,protein_coding
SEPT7,ENSG00000122545,989,SEPT7,Artery Tibial,3.483687871,0.009468667,0.110364785,0.193792331,0.162048046,132.2020746,21.42308782,0.84386682,2.639821051,septin 7,protein_coding,protein_coding
MARCH8,ENSG00000165406,220972,MARCH8,Artery Tibial,2.176706277,0.031334678,0.200246462,0.239186878,0.193001236,17.24386304,3.328086877,0.84386682,1.332839457,membrane associated ring-CH-type finger 8,protein_coding,protein_coding
